name,image,team,battingStyle,bowlingStyle,playingRole,description
Shimron Hetmyer,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320116.png",Rajasthan Royals,Left hand Bat,,Top order Batter,"Left-hander Shimron Hetmyer catches the eye as much for his attacking strokeplay as for his hair, coloured various shades of the rainbow. He started out leading West Indies to their first Under-19 World Cup title, in 2015-16, and then made his name as a lower-middle-order bruiser in T20 cricket. In the early 2020s in the IPL, his ability to go from zero to 60 in no time paid dividends for Delhi Capitals and Rajasthan Royals. In the same vein, Hetmyer made a hundred at two runs a ball in 2018 against Jamaica Tallawahs for Guyana Amazon Warriors in the CPL. That same season, in ODI cricket, where he largely slots in as a hard-hitting No. 5 for West Indies, he made two hundreds in three games, against Bangladesh at home and India away."
Rovman Powell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322172.png",Rajasthan Royals,Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. Powell's maiden ODI hundred, against Ireland in 2018, helped West Indies to a crucial win in the World Cup qualifier, and he captained a weakened side in Bangladesh later that year, but was left out of the squad for the World Cup itself, in 2019.He has been a consistent performer for Jamaica in white-ball cricket, with runs from the middle order, and captained the Tallawahs franchise in the 2020 CPL. He was Player of the Match in the final of the inaugural Abu Dhabi T10 League in 2018, hitting 61 not out off 25 balls for the victorious Northern Warriors.In 2022, at the start of a year in which he got an extended run in the West Indies T20I side, he made 107 off 53 balls against England at home and a few games later, 68 and 61 against India and Bangladesh away, both unbeaten. He also played every game in his first IPL season for Delhi Capitals, teeing off sharply from the lower middle-order to produce an impressive run of scores."
Trent Boult,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383185.png",Rajasthan Royals,Right hand Bat,Left arm Fast medium,Bowler,"Rated as one half of the best new-ball pair in New Zealand history by Sir Richard Hadlee, Trent Boult is a left-arm quick who presents a significant threat to batsmen around the world with an ability to move the ball both ways even in unresponsive conditions.Born in the Bay of Plenty region in New Zealand's North Island, Boult is, in the words of his brother Jono, a ""normal sort of Kiwi young guyâ€¦ into his golf and fishing and surfing."" Cricket, though, was his calling. He lived in a neighbourhood which included eventual New Zealand team-mates Kane Williamson and Doug Bracewell, and had the backing of a supportive household that also kept him grounded. Signs of his skill were evident even as a teenager. As a 17-year-old, he was named the fastest secondary school bowler in the country. A year later, he was representing New Zealand at the Under-19 World Cup.The transition to senior cricket, though, was not quite seamless. Boult suffered a stress fracture of the back in 2009 which put him out of cricket for two years and taught him to concentrate on strength and conditioning. There was speculation that the injury was a consequence of tinkering with his bowling action. So, under the supervision of one of his idols, Shane Bond, Boult reverted to the action he had used as a boy and the results were more than promising. By 2015, he was capable of long spells without wavering too far below the 140kph mark. He became one of New Zealand's irreplaceable players across formats and one of many protagonists in the side's march to their first World Cup final in 2015. Boult had a tough time breaking into the limited-overs sides at first, due to a perception that he doesn't move the white ball as much as the red one. But his effectiveness in Test cricket was too compelling to ignore: he raced past 100 wickets in his 29th match and in 2013, only two years since his debut, he was New Zealand's top-wicket taker. With Brendon McCullum placing a high premium on attacking cricket in the shorter versions as well and Boult proving himself as a bowler who preferred getting batsmen out rather than keeping them quiet, it was a perfect fit. Confirmation came in World Cup 2015 when he ended up the joint-leading wicket taker with 22 scalps in nine matches including 5 for 27 in an epic victory over Australia. His worth in T20 cricket was emphasised by a (approximately) $600,000 payday in the IPL.Boult's strength, according to Northern Districts coach John Pamment, is that, ""he's got a lovely wrist position and the fact that the wrist goes right behind the ball gives him that control."" Another asset for Boult is friend and sounding board Tim Southee. When on song, their partnership makes for compelling viewing, not to mention telling numbers. In 2014, the pair picked up nearly half the wickets New Zealand took - 67 of 143 - en route to the side's most successful Test year, with five wins in nine matches. The pair have both raced past 200 Test wickets and by 2019 occupy third and fourth on New Zealand's all-time Test wicket-taking list behind Hadlee and Daniel Vettori. Boult was again magnificent in the 2019 World Cup helping lead New Zealand's attack taking 17 wickets. He took a hat-trick against Australia, and the key wicket of Virat Kohli in the semi-final win over India. He bowled the last over and the Super Over in the tied final against England and without some misfortune he may have won the World Cup for his nation. Boult is also among the few fast bowlers who are exceptional fielders, and has a particular knack for one-handed blinders.ESPNcricinfo staff"
Sandeep Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323055.png",Rajasthan Royals,Right hand Bat,Right arm Medium,Bowler,"A right-arm medium pacer in the Praveen Kumar mould, Sandeep Sharma is an accurate bowler, capable of swinging the ball and sending down economical spells. Sandeep, who began as a batsman for his school in Patiala before his coach persuaded him to take up bowling seriously, was part of India's Under-19 squad for the 2010 World Cup in New Zealand. He came into his own in the same event two years later, in Australia, where he took four wickets in the final, against the hosts, and finished as the joint-highest wicket-taker for India (12). As a result, Sandeep was signed by Kings XI Punjab ahead of the 2013 season. In three seasons for his franchise, Sandeep not only took 39 wickets, but was regularly employed by his captain George Bailey to bowl the death overs. Sandeep was soon drafted into India's T20 side for the two-match series against Zimbabwe in 2015, where he failed to deliver. In 2014, however, Sandeep suffered a stress fracture of the back that kept him out of competitive cricket for five months. He returned strongly to claim 28 scalps in the 2014-15 Ranji Trophy, the most for his side.  ESPNcricinfo Staff"
Avesh Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322244.png",Rajasthan Royals,Right hand Bat,Right arm Fast medium,Bowler,
Yuzvendra Chahal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319955.png",Rajasthan Royals,Right hand Bat,Legbreak Googly,Bowler,"Yuzvendra Chahal player profileYuzvendra Chahal is an attacking legspinner who first attracted attention when he took 34 wickets in the National Under-19 Cooch Behar Trophy in 2009, ending the tournament as its leading wicket-taker. A former chess player who represented India at junior levels, Chahal made his first-class debut for Haryana the same year and was signed by Mumbai Indians in 2011 to be part of their IPL squad. He didn't play a game that season but was still named in Mumbai's Champions League T20 squad the same year. It was in the Champions League that he got an extended run in the side - he featured in the playing XI in all the matches and starred in Mumbai's win in the final with a spell of 3-0-9-2. However, in the next two years with Mumbai, he managed only one game. His IPL fortunes mirrored those in domestic cricket, where he played in only eight matches in three seasons from 2011-12 onwards and picked up just 16 wickets.It was with Royal Challengers Bangalore, though, that he found the bulk of his success. He was their highest wicket-taker for two years running since the 2015 season and by virtue of that earned his first India caps in ODIs and T20Is on a tour of Zimbabwe in June 2016. While that series may have been seen as an opportunity to blood new players into international cricket, Chahal was called up again into the Indian T20 line-up to face England in January 2017, and delivered in style in the deciding game: his 6 for 25 in that match in Bangalore was part of an England collaspse of 8 for 8, and the third-best figures till then in T20Is.ESPNcricinfo staffYuzvendra Chahal IPL factfile- Signed by Mumbai Indians in 2011, Yuzvendra Chahal featured in just one IPL match across his first three seasons (apart from Champions League T20 games) before he was signed by Royal Challengers Bengaluru (then Royal Challengers Bangalore) ahead of IPL 2014 at his base price of INR 10 lakh.- Over the course of 113 matches across eight seasons, Chahal went on to become RCB's highest wicket-taker, but the franchise chose not to retain him ahead of the 2022 mega auction.- In 2015, he earned an India cap on the back of a prolific second season for RCB, where he was their highest wicket-taker with 23 scalps. - He followed that up with an equally prolific IPL 2016, where he was the tournament's second-highest wicket-taker (23) behind Bhuvneshwar Kumar. It coincided with RCB's inspired run to the finals.- At the 2022 mega auction, Chahal was signed by Rajasthan Royals for INR 6.5 crore, and he made an immediate impression by winning the Purple Cap for most wickets (27) as Royals made their first IPL final since 2008; they finished runners-up to Gujarat Titans. That season, he also picked up a hat-trick against Kolkata Knight Riders at Brabourne Stadium.- During IPL 2023, Chahal went past Dwayne Bravo to become IPL's leading wicket-taker. His record-breaking feat came at Eden Gardens, the scene of his IPL debut."
Virat Kohli,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png",Royal Challengers Bengaluru,Right hand Bat,Right arm Medium,Top order Batter,"Virat Kohli player profileIndia has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them.This ambition transferred seamlessly to his captaincy: he demanded more than ever of his bowlers especially the quick ones, often sacrificed a batsman for bowling depth, and led India to a long stay at No. 1 in Test rankings and a first-ever series win in Australia. He is well on his way to end up as India's most successful Test captain.  Barring one in Bangladesh, Kohli scored Test hundreds in and against every country he played. He absolutely smashed records for number of matches taken to reach eight, nine, ten and eleven thousand ODI runs, and became the first batter to score 50 hundreds in one-day internationals.An Under-19 world Cup-winning captain, when he burst onto the scene, Kohli was a precocious talent with a cover drive to kill for. He was destined to be India's next big batsman as the Tendulkar era began to retire, but Kohli wanted to be more: a cricketer whom the opposition would be in awe of, a cricketer whose presence would raise the intensity of the contest. He lived every ball, competed each moment, and made sure he had the fitness and strength to do so. He was widely credited for changing the fitness culture in Indian cricket, introducing endurance tests as a criterion for selection. Kohli was quite simply India's most powerful captain. Centre of every marketing campaign for Indian cricket, he also happened to lead at a time when the BCCI was run by interim administrators who knew better than to draw the ire of Indian cricket's biggest star. There was never any cause to doubt his intent: to do things that will win matches for India, which they did plenty under him.Virat Kohli IPL factfile - Virat Kohli is the only player in the Indian Premier League (IPL) to have played all seasons for one team: Royal Challengers Bangalore (RCB) - He was picked by RCB soon after he captained India to victory in the 2008 Under-19 World Cup and has been retained by them ever since - Kohli is the IPL's highest run-scorer and the only one with more than 8000 runs - He holds the record for most IPL centuries (8) as well as most runs in a season (973 runs in 2016). He has won the Orange Cap twice - in 2016 and 2024 - Kohli captained RCB full-time from 2013 to 2021 and led them to the final in the 2016 season, when they lost to Sunrisers Hyderabad - Kohli holds the record for the most prolific partnerships in the IPL, with AB de Villiers (3123 runs) and Chris Gayle (2787 runs) - His popularity has made RCB one of the most followed teams in the IPL, even though they haven't yet won a title"
Faf du Plessis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316559.png",Royal Challengers Bengaluru,Right hand Bat,Legbreak,Middle order Batter,"Faf du Plessis player profileClassy, composed and a fine crafter of innings', Faf du Plessis emerged as one of South Africa's most consistent batsmen in the post-Jacques Kallis era. Du Plessis is strong on the front foot, has impeccable defences and enjoys spending time at the crease. A natural leader, du Plessis was put in charge of the T20 side in February 2013 and formed part of the senior core in other formats. All that may have been lost when, in 2007, du Plessis signed a Kolpak deal with Lancashire. Unlike his high-school contemporary, AB de Villiers, du Plessis did not manage to fast-track himself into the international spotlight and looked abroad for other opportunities. Apart from learning the rigours of the county system, du Plessis made a name for his fielding.He returned to South Africa to play domestic cricket every summer and topped the MTN40 run charts in the 2010-11 season. His Kolpak deal had expired by then and he was selected in South Africa's one-day squad for the home series against India in January 2011. A half-century on debut sealed his spot for the World Cup that followed. At that point, du Plessis was known as an aggressive ball-striker and quick run-scorer.He was part of the South Africa Test squad that took the Test mace off England in mid-2012, but did not play a game, instead getting a T20 debut on that tour. He got his Test chance on South Africa's tour to Australia later that year and followed his first-innings 78 in the second Test in Adelaide with a stonewalling effort for the ages in the second innings. Du Plessis spent more than seven-and-a-half hours at the crease, faced 376 balls and remained unbeaten on 110 to take South Africa to an unlikely draw, which set them up for a series win in Perth.His curve continued upwards when in December that year, du Plessis was given the T20 captaincy in a series against New Zealand, despite only having played four T20Is prior to that. He was then given the role permanently the following February. Du Plessis had established himself as a complete batsmen, who had the ability to shift gears and anchor an innings, and played a similar knock against India in December 2013. His 134 in the second innings of the Johannesburg Test took South Africa within eight runs of completing the highest successful Test chase, 458, and in the end secured a draw. When Kallis retired after the next match, du Plessis was an automatic choice for promotion to No.3. It took du Plessis a little longer to repeat those feats in limited-overs. In his 51st ODI, he finally scored his first century in the format, against Australia in a triangular series in Harare in August 2014, but then the floodgates opened. Two more hundreds came in that series, which South Africa won. Du Plessis took good form into the 2015 World Cup, after becoming the second South African to score a T20I century after Richard Levi, in February that year. He was among those left devastated by South Africa's semi-final loss. While du Plessis continued to rack up runs in ODIs, he was criticised for occasionally scoring too slowly. He started to struggle in the longest format and after managing just one fifty in 12 innings in the 2015-16 season, he was dropped for the final Test against England in January 2016. Du Plessis led South Africa in two World T20 campaigns, in 2014 and 2016, and despite them returning empty-handed from both, he confirmed his desire to keep the captaincy. Faf du Plessis IPL factfile- Faf du Plessis has won two IPL finals, both with Chennai Super Kings (CSK), in 2018 and 2021.- Du Plessis was the Player of the Match in the 2021 final for his 59-ball 86, which took CSK to 192 against Kolkata Knight Riders (KKR).- Du Plessis has played for two other teams in the IPL: Rising Pune Supergiant (RPSG) and Royal Challengers Bengaluru (RCB), captaining RCB since 2022.- As of 2024, he is one of the only five players to have scored 4000 or more IPL runs without a century to their name. The others are MS Dhoni, Robin Uthappa, Dinesh Karthik and Gautam Gambhir."
Cameron Green,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321569.png",Royal Challengers Bengaluru,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Cameron Green was earmarked as an international cricket from very early. Contracted to Western Australia as a schoolboy, he took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. Green didn't play any first-class cricket in 2017-18 and spent the 2018 winter at Cricket Australia's National Performance Centre in Brisbane. His game went to another level in 2019-20 after another stress fracture in his lower back forced him to stop bowling again. He made his maiden first-class century, producing scores of 87* and 121* to force an extraordinary draw against Queensland at the Gabba. He would score two more centuries that summer before posting a career-best 197 from 438 balls against New South Wales in October 2020. That performance led to his first international call-up as he was named in Australia's ODI and T20I squads to face a touring India side which was followed by a Test debut against the same opposition. He made half-centuries in each of his first four series then claimed a maiden five-wicket haul against South Africa the MCG in late 2022 - during a game where he badly broke his finger. Shortly after returning to side in India he made a maiden Test hundred in Ahmedabad.By then, his cross-format skills had caught the eye after a pair of dazzling T20I fifties in India led to a bidding war in the 2022 IPL auction where Green fetched AU$3.15million from Mumbai Indians and he went on to flay a memorable 47-ball century in the 2023 tournament.However, the demand of being a three-format player brought challenges and Test cricket was a struggle during the 2023 Ashes with Green eventually losing his spot to the resurgent Mitchell Marsh. But such was the desire of the selectors to get him back into the side that when David Warner retired the move to promote Steven Smith to open was largely to accommodate Green at No. 4. Three matches into the role, he struck a magnificent 174 not out in Wellington.

ESPNcricinfo staff"
Rajat Patidar,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378000/378081.1.png",Royal Challengers Bengaluru,Right hand Bat,Right arm Offbreak,Top order Batter,"Rajat Patidar IPL fact file- Rajat Patidar came into the limelight when he scored an unbeaten 112 off 54 balls for Royal Challengers Bengaluru (RCB) against Lucknow Super Giants (LSG) in the eliminator of IPL 2022.- Patidar was first signed by RCB ahead of IPL 2021. He played only four games that season and was subsequently released. - In 2022, he joined them as a replacement player and finished the season as their third-highest run-scorer, with a tally of 333 at a strike rate of 152.75. - He missed the IPL 2023 because of a heel injury."
Glenn Maxwell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png",Royal Challengers Bengaluru,Right hand Bat,Right arm Offbreak,Batting Allrounder,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats. His ability to make unconventional shots - reverse sweeps and pulls, for example - appear routine makes it hard to set fields to cover all of his scoring areas. Maxwell's audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments. Also a handy offspinner and outstanding fielder, Maxwell offers an impressive package in one-day and T20 cricket when things click. To date, his most extraordinary display (among many) came against Afghanistan in the 2023 ODI World Cup when he struck a monumental 201 not out off 128 balls lead Australia to a remarkable victory from an almost hopeless positionIn 2017 he made his first Test hundred, against India in Ranchi. He was subsequently briefly dropped from the ODI side but came back and made his third T20I century in Bangalore early in 2019 to help Australia chase 191. The ODI series against Pakistan in the UAE that followed was a high point as well.Late in 2019, Maxwell took a mental-health break from the game. The time away, along with conversations about his role with white-ball captain Aaron Finch, helped revive his form - he made five scores of over 45 in six ODI innings in 2020, had an impressive IPL season with Royal Challengers Bangalore the following year, and in January 2022, became the first batter to breach the 150-run mark in a BBL innings. However, he made little impact in the 2021 and 2022 T20 World Cups.He made his name for Victoria with a 19-ball half-century against Tasmania in 2010-11, the fastest fifty in Australia's one-day domestic history, and transferred that talent to the international stage. At the 2015 World Cup he blasted a 51-ball hundred against Sri Lanka in Sydney, then the fastest for Australia in ODIs, and the second-quickest in World Cup history. Australia have also used Maxwell in Tests but to less effect. However, in Delhi in 2013 he had the distinction of opening the batting and bowling in the same Test, as Australia strove in vain to turn their disastrous series around. He came close to a recall on the 2022 tour of Sri Lanka.In late 2022 he suffered a badly broken leg when he slipped at a friend's birthday party."
Mahipal Lomror,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315000/315015.jpg",Royal Challengers Bengaluru,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Born and brought up in Rajasthan, Mahipal Lomror started as a specialist batsman and later turned into an allrounder, who could bowl left-arm spin. Lomror is an aggressive batsman who fearlessly goes for the big shots, much like how his role model Adam Gilchrist used to. Lomror was picked as an allrounder for the Under-19 World Cup in 2016 and impressed in only his second match, against New Zealand, with a quick 45 in the lower order and a five-for to follow.He rose to the top level after representing Rajasthan in the Under-16 and Under-19 levels across formats. When he was picked for the India Under-19s in the run-up to the World Cup, he impressed in a tri-series in Sri Lanka, by claiming 4 for 10 in five overs against England. Less than two months later, Delhi Daredevils bought him for INR 10 lakh ($US 14,800) in the 2016 IPL auction."
Dinesh Karthik,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319934.png",Royal Challengers Bengaluru,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Not many would forget the sight of Dinesh Karthik in India colours, horizontal on the ground, as he stumped Michael Vaughan in 2004. It was his first dismissal as a wicketkeeper for India, but his international career never really took off. Around the time he began churning out consistent runs in domestic cricket, India had MS Dhoni at the helm and behind the stumps, so there was very little Karthik could do. A man who was an integral part of a Test series victory over England in 2007, who showed he could open the batting in spicy conditions, just could not capitalise on his second chances. Karthik was still a giant in domestic cricket though, and had a knack for turning up on turning tracks. No doubt his penchant to sweep, reverse sweep and hare down that track at spinners helped his cause. Those quick feet have at times failed him behind the stumps - often at crucial junctures. He was recalled to the Indian side for a tour of Bangladesh in 2014 - but his wicketkeeping let him down.Karthik made over 1000 first-class runs in the 2008-09 season, with five centuries including a 213 as Tamil Nadu captain as they reached the semi-finals. For five seasons since - barring 2010-11, 2013 [when he played only one match] and 2015-16 - he had maintained a batting average above 40. Karthik found himself in contention again after Dhoni's retirement in 2014, but Wriddhiman Saha was preferred because he was seen as the stronger keeper.An in-and-out history with the Indian team didn't help. He was picked in the one-day squad, as replacement for Parthiv Patel in August 2004, and made his debut in a NatWest Challenge game against England where he pulled off a superb stumping. Shortly afterwards, he was called up to make his Test debut against Australia but when he could manage only one fifty in ten matches, he was axed.He made a comeback in 2008 - picked in the Indian side for all three formats for a tour of New Zealand - but his middling performances continued over the following year and did not allow him to cement a place in the team. He fell out of contention, until a fine 2012-13 domestic season got him back into the ODI side for the 2013 Champions Trophy in England but it proved to be another false dawn.Karthik may feel unfulfilled when he looks back on his international career, but the IPL should have helped soothe him. He was bought at INR 12.5 crore by Delhi Daredevils in the 2014 auction and the next year, he netted INR 10.5 crore courtesy Royal Challengers Bangalore. He was acquired by Gujarat Lions for INR 2.3 crore in 2016.ESPNcricinfo staff"
Swapnil Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/358000/358047.png",Royal Challengers Bengaluru,Right hand Bat,Slow Left arm Orthodox,Bowler,"Swapnil Singh's career has been a rollercoaster. The left-arm-spin-bowling allrounder was part of India's 25 probables for the 2008 Under-19 World Cup, but ultimately did not make the squad for Malaysia. However, he made his first-class debut for Baroda at the age of 14 years and 355 days. Over the next ten years, he played just 76 domestic matches, of which 31 came during the 2014-15 and 2015-16 seasons. Swapnil claimed 6 for 19, the second-best bowling figures in the Syed Mushtaq Ali T20 tournament, and was later bought for INR 10 lakhs by the erstwhile Kings XI Punjab (now Punjab Kings) at the 2016 IPL auction. Under Glenn Maxwell's captaincy at PBKS, he made his IPL debut, with a maiden wicket of MS Dhoni. Later, he was with Lucknow Super Giants during IPL 2023, while in IPL 2024, Swapnil played six league games with his new team Royal Challengers Bengaluru. His tidy bowling helped RCB win their last six matches to qualify for the playoffs. Domestically, Swapnil has moved from Baroda to Uttarakhand.
ESPNcricinfo staff"
Karn Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324221.png",Royal Challengers Bengaluru,Left hand Bat,Legbreak Googly,Bowler,"After Praveen Kumar and Bhuvneshwar Kumar, legspinner Karn Sharma became the third cricketer to hit the headlines from the small western Uttar Pradesh town of Meerut when he bagged a Rs 3.75 crore from Sunrisers Hyderabad in the 2014 IPL auction. It was the highest amount earned by a domestic uncapped player in the auction, and was reward for a solid season with Sunrisers in 2013, when he grabbed 11 wickets in 13 matches at an economy rate of 6.60. He formed a potent combination with India legspinner Amit Mishra as Sunrisers beat expectations to reach the semi-finals in their first season.He has been around in the domestic circuit since 2007 representing Railways, but it was only during the 2012-13 season that he really made heads turn. He won the BCCI award for the Best Under-25 cricketer after taking 21 wickets at 19.04 in three Ranji matches that season. It included an eight-wicket innings haul against defending champions Rajasthan, which remains a highlight of his first-class career.He repeated his solid IPL showing in 2014, with 15 wickets at 25.06, before showing a glimpse of his batting skills against South Africa A when India A toured Australia - given limited opportunities there, he got India A across the line in a nail-biting chase with 39 off 16 at No. 9. Not long after, he was rewarded with an India call-up, making the limited-overs squad for the tour to England and debuting for the country in a T20 international. Later in the year, after consistently claiming wickets against touring teams for India A, he got a maiden Test call-up: for the tour to Australia.
ESPNcricinfo staff"
Yash Dayal,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357400/357416.2.jpg",Royal Challengers Bengaluru,Right hand Bat,Left arm Medium fast,Bowler,
Mohammed Siraj,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322611.png",Royal Challengers Bengaluru,Right hand Bat,Right arm Fast,Bowler,"Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand. Sturdy and athletic, Siraj has a deceptive run-up, which initially suggests that a left-arm bowler is steaming in. He is, however, a right-armer and by his own admission is a natural at getting the ball to swing into the right-hander. He has always been able to bowl a pretty quick bouncer though, something that had impressed his captain David Warner and team mentor VVS Laxman in the Sunrisers Hyderabad set-up. Potential translated to performance when he was his state's highest wicket-taker playing only his second season of Ranji Trophy - 41 wickets in nine matches. He was subsequently picked to play for the Rest of India and was brought on board by the India A team as well for a tour of South Africa in July-August 2017. The step up to the big league arrived soon after."
Lockie Ferguson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383174.png",Royal Challengers Bengaluru,Right hand Bat,Right arm Fast,Bowler,"Fiercely quick right-arm fast bowler Lockie Ferguson made an impact at the 2019 ODI World Cup in England with his bruising pace and bounce, taking 21 wickets at under 20 runs apiece and an economy rate of 4.88 - the second most wickets in the tournament. A sporadic presence in the Auckland side in his first two first-class seasons, Ferguson broke through in 2014-15 with 21 wickets at 23.38. He took 31 the following year, and 117 in all in the four seasons through to 2017-18. He also enjoyed success in the List A side in this period. Ferguson was picked in the ODI team that went to Australia in December 2016, after an injury to Adam Milne had left them lacking an out-and-out fast bowler. Making his debut in Sydney, Ferguson took the wicket of David Warner in his first over.He has been in the New Zealand white-ball sides more or less regularly since he hit the scene, a prize weapon for his pace and impact. In 2018 he took 11 wickets in three ODIs against Pakistan in the UAE at the jaw-dropping average of 12.8, followed by six in two games against Sri Lanka at home early the following year. A Test debut came against Australia in Perth late in 2019, but frustratingly for Ferguson, he didn't last the match, sidelined by a calf strain in the second session of day one.Ferguson has played T20 cricket in the IPL for Kolkata Knight Riders, Rising Pune Supergiant and Gujarat Titans; for Manchester Originals and Welsh Fire in the Hundred; and had a season at Derbyshire in 2018, when he turned out for them in the County Championship and the T20 Blast."
Sanvir Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/359700/359765.png",Sunrisers Hyderabad,Right hand Bat,Right arm Medium,Allrounder,
Vijayakanth Viyaskanth,,Sunrisers Hyderabad,Right hand Bat,Legbreak,Bowler,"Legspinner Vijaykanth Viyaskanth first rose to prominence in December 2020, when he became the youngest player at 18 years and 364 days to feature in the Lanka Premier League for Jaffna Stallions. In that tournament, he also became the first born-and-bred player from Jaffna, in Sri Lanka's northern tip and once the epicentre of a three-decade-long civil war, to appear in an internationally televised game.He made his Sri Lanka debut at the Asian Games in Hangzhou. He also impressed with eight wickets in four outings at an economy of 5.43 for title winners MI Emirates in the ILT20 tournament. He has also represented Chattogram Challengers in the Bangladesh Premier League. He got a first chance at the IPL when he was picked up as a replacement player in the 2024 season by Sunrisers Hyderabad."
Atharva Taide,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/358000/358044.png",Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Prabhsimran Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/358000/358040.png",Punjab Kings,Right hand Bat,,Wicketkeeper Batter,
